"","Metodo","bissecao","","","","","","","Metodo","newton","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"-1.25","0.75","0.16","1","","","","","-0.666666666666667","0.166666666666667","0.75","0.25","","","","","-0.788235294117647","0.0882352941176472","0.340833147694364","0.111940298507463","",""
"-0.875","0.375","0.163265306122449","0.428571428571429","","","","","-0.833333333333333","0.166666666666667","0.24","0.2","","","","","-0.899039314218149","0.110804020100502","0.124909343253115","0.123247135412385","",""
"-1.0625","0.1875","0.0553633217993079","0.176470588235294","","","","","-0.952380952380952","0.119047619047619","0.0525","0.125","","","","","-0.963138117110095","0.0640988028919459","0.0397374846715091","0.0665520362585949","",""
"-0.96875","0.09375","0.0332986472424559","0.0967741935483871","","","","","-0.995670995670996","0.0432900432900433","0.00436672967863916","0.0434782608695652","","","","","-0.993043830567555","0.0299057134574597","0.00705396525811808","0.0301151998903892","",""
"-1.015625","0.046875","0.0151479289940829","0.0461538461538462","","","","","-0.999962680997164","0.0042916853261683","3.73217884079846e-05","0.00429184549356245","","","","","-0.999498272057774","0.00645444149021868","0.000502231783237272","0.00645768148946394","",""
"-0.9921875","0.0234375","0.00793601587203185","0.0236220472440945","","","","","-0.999999997214688","3.73162175241193e-05","2.78531198105725e-09","3.73162176280566e-05","","","","","-0.999993045795421","0.000494773737646947","6.95430130215335e-06","0.000494777178428667","",""
"-1.00390625","0.01171875","0.00387591030901302","0.0116731517509728","","","","","-1","2.78531198105725e-09","0","2.78531198105725e-09","","","","","-0.999999993023537","6.94722811656057e-06","6.97646296288212e-09","6.94722816502765e-06","",""
"-0.998046875","0.005859375","0.00196077680462325","0.00587084148727984","","","","","","","","","","","","","-0.999999999999903","6.97636581836747e-09","9.68114477473137e-14","6.97636581836815e-09","",""
"-1.0009765625","0.0029296875","0.000974657941701373","0.00292682926829268","","","","","","User","System","Elapsed","Cumulative","Spawned","","","-1","9.69224700497762e-14","0","9.69224700497762e-14","",""
"-0.99951171875","0.00146484375","0.000488758436631764","0.00146555935515388","","","","","Time:","0.0509999999999984","0","0.0509999999999309","0","0","","","","","","","",""
"-1.000244140625","0.000732421875","0.000244021459351984","0.000732243104710764","","","","","","","","","","","","","","User","System","Elapsed","Cumulative","Spawned"
"-0.9998779296875","0.0003662109375","0.000122100120280244","0.000366255646441216","","","","","","","","","","","","","Time:","0.027000000000001","0","0.0270000000000437","0","0"
"-1.00006103515625","0.00018310546875","6.10277063514131e-05","0.000183094293561184","","","","","","","","","","","","","","","","","",""
"-0.999969482421875","9.1552734375e-05","3.05194408554144e-05","9.15555284279916e-05","","","","","","","","","","","","","","","","","",""
"-1.00001525878906","4.57763671875e-05","1.52583234118708e-05","4.5775668706227e-05","","","","","","","","","","","","","","","","","",""
"-0.999992370605469","2.288818359375e-05","7.62951094790409e-06","2.2888358218065e-05","","","","","","","","","","","","","","","","","",""
"-1.00000381469727","1.1444091796875e-05","3.81466816201659e-06","1.14440481412958e-05","","","","","","","","","","","","","","","","","",""
"-0.999998092651367","5.7220458984375e-06","1.90735590877011e-06","5.72205681239474e-06","","","","","","","","","","","","","","","","","",""
"-1.00000095367432","2.86102294921875e-06","9.53672497416846e-07","2.86102022073725e-06","","","","","","","","","","","","","","","","","",""
"-0.999999523162842","1.43051147460938e-06","4.76837612950476e-07","1.43051215673073e-06","","","","","","","","","","","","","","","","","",""
"-1.00000023841858","7.15255737304688e-07","2.38418465414725e-07","7.15255566774472e-07","","","","","","","","","","","","","","","","","",""
"-0.99999988079071","3.57627868652344e-07","1.19209317972491e-07","3.57627911284913e-07","","","","","","","","","","","","","","","","","",""
"-1.00000005960464","1.78813934326172e-07","5.96046376699633e-08","1.78813923668031e-07","","","","","","","","","","","","","","","","","",""
"-0.999999970197678","8.94069671630859e-08","2.98023241640522e-08","8.94069698276213e-08","","","","","","","","","","","","","","","","","",""
"-1.00000001490116","4.4703483581543e-08","1.49011607497584e-08","4.47034829154092e-08","","","","","","","","","","","","","","","","","",""
"-0.999999992549419","2.23517417907715e-08","7.45058081896843e-09","2.23517419573049e-08","","","","","","","","","","","","","","","","","",""
"-1.00000000372529","1.11758708953857e-08","3.72529029846191e-09","1.11758708537524e-08","","","","","","","","","","","","","","","","","",""
"-0.999999998137355","5.58793544769287e-09","1.86264514923096e-09","5.58793545810121e-09","","","","","","","","","","","","","","","","","",""
"-1.00000000093132","2.79396772384644e-09","9.31322574615479e-10","2.79396772124435e-09","","","","","","","","","","","","","","","","","",""
"-0.999999999534339","1.39698386192322e-09","4.65661287307739e-10","1.39698386257374e-09","","","","","","","","","","","","","","","","","",""
"-1.00000000023283","6.98491930961609e-10","2.3283064365387e-10","6.98491930798979e-10","","","","","","","","","","","","","","","","","",""
"-0.999999999883585","3.49245965480804e-10","1.16415321826935e-10","3.49245965521462e-10","","","","","","","","","","","","","","","","","",""
"-1.00000000005821","1.74622982740402e-10","5.82076609134674e-11","1.74622982730238e-10","","","","","","","","","","","","","","","","","",""
"-0.999999999970896","8.73114913702011e-11","2.91038304567337e-11","8.73114913727422e-11","","","","","","","","","","","","","","","","","",""
"-1.00000000001455","4.36557456851006e-11","1.45519152283669e-11","4.36557456844653e-11","","","","","","","","","","","","","","","","","",""
"-0.999999999992724","2.18278728425503e-11","7.27595761418343e-12","2.18278728427091e-11","","","","","","","","","","","","","","","","","",""
"-1.00000000000364","1.09139364212751e-11","3.63797880709171e-12","1.09139364212354e-11","","","","","","","","","","","","","","","","","",""
"-0.999999999998181","5.45696821063757e-12","1.81898940354586e-12","5.4569682106475e-12","","","","","","","","","","","","","","","","","",""
"-1.00000000000091","2.72848410531878e-12","9.09494701772928e-13","2.7284841053163e-12","","","","","","","","","","","","","","","","","",""
"-0.999999999999545","1.36424205265939e-12","4.54747350886464e-13","1.36424205266001e-12","","","","","","","","","","","","","","","","","",""
